"Date","Price","Open","High","Low","Change %"
"May 14, 2017","1,241.950","1,241.950","1,241.950","1,241.950","1.28%"
"May 07, 2017","1,226.280","1,226.280","1,226.280","1,226.280","-0.46%"
"Apr 30, 2017","1,231.990","1,231.990","1,231.990","1,231.990","-0.42%"
"Apr 23, 2017","1,237.160","1,237.160","1,237.160","1,237.160","0.42%"
"Apr 16, 2017","1,232.030","1,232.030","1,232.030","1,232.030","-0.15%"
"Apr 09, 2017","1,233.900","1,233.900","1,233.900","1,233.900","0.60%"
"Apr 02, 2017","1,226.590","1,226.590","1,226.590","1,226.590","-0.30%"
"Mar 26, 2017","1,230.321","1,230.321","1,230.321","1,230.321","0.56%"
"Mar 19, 2017","1,223.530","1,223.530","1,223.530","1,223.530","0.53%"
"Mar 12, 2017","1,217.050","1,217.050","1,217.050","1,217.050","0.77%"
"Mar 05, 2017","1,207.790","1,207.790","1,207.790","1,207.790","0.20%"
"Feb 26, 2017","1,205.400","1,205.400","1,205.400","1,205.400","0.37%"
"Feb 19, 2017","1,200.960","1,200.960","1,200.960","1,200.960","-0.07%"
"Feb 12, 2017","1,201.820","1,201.820","1,201.820","1,201.820","0.11%"
"Feb 05, 2017","1,200.520","1,200.520","1,200.520","1,200.520","0.55%"
"Jan 29, 2017","1,193.960","1,193.960","1,193.960","1,193.960","-0.11%"
"Jan 22, 2017","1,195.290","1,195.290","1,195.290","1,195.290","-0.18%"
"Jan 15, 2017","1,197.450","1,197.450","1,197.450","1,197.450","0.10%"
"Jan 08, 2017","1,196.220","1,196.220","1,196.220","1,196.220","0.56%"
"Jan 01, 2017","1,189.580","1,189.580","1,189.580","1,189.580","0.61%"
